,date,username,content
0,2022-05-06 15:30:30+00:00,kiddoomu,"@kingnyamjoon Aku pengen banget punya album inii kayakk, pengen ngerasain punya album pas tahun yg sama si album itu rilis kayak gtu dehh, ngerti ga kak. terus, terus albumnya itukan warna item, nah aku suka sama hal² yg warnanya item elegant gitu, alesannya emang agak aneh tapi emng kenyataan https://t.co/9c1n5Uo0SL"
1,2022-05-06 15:27:29+00:00,kuaciyy,@raspbellyn wkwkwk ayang ih tp awal awal cat item juga pangling banget to sekarang udah terbiasa si
2,2022-05-06 15:25:30+00:00,HanumSana,@DS_yantie Ini jidat item banget ya..
3,2022-05-06 15:19:06+00:00,nzzjm0,gua suka banget nih item putih 😇
4,2022-05-06 15:12:54+00:00,im_keiiii,TBL BANGET ASTAGHFIRULAHHH UDAH GANTI LAYOUT HUASNAJAJJZ😭😭😭😭item item gitu ishw https://t.co/vnWZ9vRSA3
5,2022-05-06 15:12:52+00:00,lajimollave,gemes banget layout-nya item putih item putih 😫🖤🤍
6,2022-05-06 15:11:24+00:00,vagukkie,"Ini kaya balik era hiphop lagi engga si 🥺 logo nya kaya bts jaman dulu banget, item putih"
7,2022-05-06 15:11:04+00:00,summernotsun,"nuvo yg warna item, baunya wangi style aku banget https://t.co/V4NjodzSgZ"
8,2022-05-06 15:09:53+00:00,bitidabelyu,"AYAM LADA ITEM EMAK ENAK BANGET SUER, MANA ADA BOLU AMANDAA MODYARRR AKU https://t.co/OvjbTmvu52"
9,2022-05-06 15:06:21+00:00,ikigairin,@paimonfess As cust: pernah kasih bonus item padahal dari joki joki sebelumnya belom pernah dan itu kek ??? pertama kali gituin wkwkwkwlw 😭😭😭😭 seneng banget sampe malu sendiri pas chat penjokinya
10,2022-05-06 15:05:01+00:00,jiniyeoja,"Suka banget layoutnyaa item item, keren gituuuu https://t.co/tPMnVzh66p"
11,2022-05-06 14:58:05+00:00,meirnyeh,gue benci banget dah kalo kelewatan diskon item yg udah gue taro keranjang
12,2022-05-06 14:57:40+00:00,ssebong17,KEBETULAN BANGET SI MBAK NYA PAKE BAJU ITEM BAWAHANNYA MIRIP WARNA JEANS WKWKWKW😭😭😭😭 https://t.co/dv32okkt2j
13,2022-05-06 14:55:55+00:00,EngeneJajan,geneask? hee soljack yang baju item termasuk yang rare banget gak sih?
14,2022-05-06 14:48:00+00:00,mondestines,GEMES BANGET YANG ITEM NUNGGUIN TERUS JALAN BARENG 🥹 https://t.co/0QxahOBo8M
15,2022-05-06 14:45:11+00:00,aalizilaa,"w goreng bebek ngapa item banget dah, perasaan klo beli gak pernah seitem ini???"
16,2022-05-06 14:45:08+00:00,nanawrml_,"Darahku udah item banget, kasian kalo minumnya kurang. Semangat sehat lagi yuk banyakin terus minum air putih 🚰 https://t.co/sOjuuttEL3"
17,2022-05-06 14:40:36+00:00,O81299,"@plyhalf ㅤ
ㅤ
Kak itu apa kak? 🥲 saya buta banget sama item dan efeknya.
ㅤ
ㅤ"
18,2022-05-06 14:39:57+00:00,sxoobien,@taexhyunn Keren banget emang mana item semua
19,2022-05-06 14:38:10+00:00,bluehan__,Chan kalo kaosan item gitu cakep banget ak yg pusing
20,2022-05-06 14:33:45+00:00,tomataeng46,"@powpowwii @thisuserlatte @sbmptnfess Benarr🤣 sukron banget, plus spidol snowman item merah biru😭👍"
21,2022-05-06 14:30:44+00:00,gomnoona,changbin rambut item gila banget sih
