,date,username,content
0,2022-05-06 15:46:17+00:00,eldion_alduin,Anti banget sama utang. Gpp skg masih ngekos murahan; kendaraan motor. Yg penting jangan utang. Selalu nolak CC dan nonaktif-in paylater. Takutnya itu kalau umur gak panjang malah mewarisi keluarga dengan hutang. Naudzubillah. https://t.co/VHVP90XNmr
1,2022-05-06 15:45:24+00:00,kenching28,Ung murahan namen normal yun tangina kaaaaaaa hahahah
2,2022-05-06 15:45:10+00:00,Beautyinbroken2,@avegaille Guys tigilan na natin sya. Shes learn her lesson. Magoatawad na tayo.  At salamat kasi natuto tayong magpaliwanagan sa isat isa ng walang murahan. Nice to meet you uli bhe and okay na yan wag mo na silang sagutin okay.  Na guys.
3,2022-05-06 15:39:48+00:00,erefaide,Murahan... 👎
4,2022-05-06 15:36:52+00:00,424jt,@kxwibisono ingfo pis r murah murahan
5,2022-05-06 15:32:52+00:00,April21749036,Aku terlalu berharga untuk kamu yang terlalu murahan
6,2022-05-06 15:31:19+00:00,InNuKi,"@Sobat_Anies Kalau memang BENAR BISA KERJA, BENAR mempersatukan bangsa, TIDAK main POLITIK KOTOR, mau WNI garis keturunan apapun akan didukung rakyat. Jadi buktikan saja itu semua dulu, ngga usah kawatir soal isu yang katanya murahan ini."
7,2022-05-06 15:31:12+00:00,lilacouzy,aduh maaf. izin ketawa bentar. ga tahan? murahan? itu ngomongin diri sendiri apa gimana ya. ngakak bgt https://t.co/izv5bK7JIU
8,2022-05-06 15:31:03+00:00,barrion_allen,Oo gagiii murahan talaga https://t.co/VMQkyPNZo5
9,2022-05-06 15:29:18+00:00,emirfabs,@bobdebruynee Murahan sepatunya daripada sendal gua
10,2022-05-06 15:27:01+00:00,liylover,"Lahanat mcm fav ko ,lisa party bkn hari2 pn,dasar pelacur hari2 post gambar telanjang untk tarik attention dri media dn lelaki,miss murahan tiap tahun biin scandal laki hahahah https://t.co/mY1VDXVuhF"
11,2022-05-06 15:26:03+00:00,silky_willy,"Gue bangga punya mereka..Kapan lagi punya teman yg sefrekuensi ya kan, makan di burjo gas, sekip kuliah gas hahaha tp ya untungnya makin naik semester udah pd sadar semua, kesana kesini gas walaupun tempat nongkrongnya murahan ya hehehe..."
12,2022-05-06 15:23:58+00:00,owl_harryqa,"That person punca ramai org tak nk ng duit raya.
-sbb tak mampu, bila tak manpu, org suka judge.

Ni lah org malaysia kita mostly.
Annoying.

Suka hati orang tu lah 
Diorg ikut kemampuan kot.

*Ni geng nak jadi mcm kak long 7e la tu. Nak famous murahan. https://t.co/3lB7LhBfkx"
13,2022-05-06 15:21:58+00:00,IbrahimBarraq,"reformasi melahirkan puluhan partai,dari yg beridelogi nasionalis,islam,kristen dll,tapi kenapa dulu damai? Karena dulu ga ada buzzer sampah yg bikin gaduh,politik identitas itu biasa,jangan terjebak olih framing murahan https://t.co/hxI7BA4eUo"
