,date,username,content
43,2022-05-06 15:27:34+00:00,stchies__,Disakitin sama cowok jelek gaenak bgt sumpah 🥲
44,2022-05-06 15:27:32+00:00,jeberwocky,"@sweetestsmiless Iya tau ak jelek, mff"
45,2022-05-06 15:27:25+00:00,imeldwa,@auliaputra__ menurut psikologi twt km jelek bgt
46,2022-05-06 15:27:20+00:00,ttzuiyu,"@jungjfehyun kebalik, jelek"
47,2022-05-06 15:27:19+00:00,wonkitemanku,@vanillarough SUMPAH JELEK BGT AJG GW KETAWA NGIK NGIK
48,2022-05-06 15:27:18+00:00,gvirIy,@ziyounog Jelek gimana ?
49,2022-05-06 15:27:09+00:00,peaches__bear,@rizmaontt Jelek banget masak klo jadi nama inisialnya BAB😭👎
50,2022-05-06 15:27:07+00:00,user1301170395,@jennonolee ee tapi kataku jelek
51,2022-05-06 15:27:04+00:00,Ieanavvab,@hwnngyeji Jelek fiturnya
52,2022-05-06 15:27:00+00:00,MawarSolitaire,"@ChomZ_3001 @democrazymedia yg di pilih yg kwalitas jelek
pribadi nya..
jd dia yg plng baik di antara
yg tr buruk kwalitas nya..
cuma kang ngibul..."
53,2022-05-06 15:26:58+00:00,yeacutiepie,"@sjhapira Iyaihhh belum nihh sampe sekarangg. Lagi mengumpulkan mood nonton drama yang berepisode wkwkwk
Ayokk sini kalau ada rekomendasi yang bikin mewek jelek jangan lupa berkabar🤭🤭"
54,2022-05-06 15:26:49+00:00,highestcaste,yudha lo jelek🖕
55,2022-05-06 15:26:45+00:00,ilypwtty,rambut aku jelek bgt nyesel😔😔
56,2022-05-06 15:26:42+00:00,popo_umur26,"@itssss_byyy @cakungoppa sabar kak

preferensi kan bebas kak

target market dia adalah cowok perfect yg mau ama cowok jelek"
57,2022-05-06 15:26:39+00:00,preiajadaahh,"Baca ini ngakak

Emang jelek kwkwkwk https://t.co/kuJhTW4gwh"
58,2022-05-06 15:26:36+00:00,hyymniiez,@Mudahdanhemat1 jelek
59,2022-05-06 15:26:36+00:00,thingoy,"nah iya gt sadar diri dikit, udh jelek flirty sana sini https://t.co/lbMCqSiWGm"
60,2022-05-06 15:26:36+00:00,i_younghoon,kata gue mah deobo paling jago kalo disuruh bikin tik tok jelek
61,2022-05-06 15:26:33+00:00,ziyounog,tl gue kok banyak orang jelek..
62,2022-05-06 15:26:30+00:00,Leonn0012,@chickenuggyes @owlinsan jelek
63,2022-05-06 15:26:18+00:00,Arofah51052527,#IkatanCintaEp710 sumpah deh sbg penonton ku bilang aktingmu jelek ammarzoni kaku kyk baca puisi lho
64,2022-05-06 15:26:07+00:00,diirumaah,@coccainnn BANGSAT JELEK BAT ACEL AJGGG
65,2022-05-06 15:26:06+00:00,badanelaboom,Moodku jelek banget hari ini
66,2022-05-06 15:26:05+00:00,nobwie,"Masa ya tadi pagi pas gw mau bayar beli paket data kemaren di rumah tetangga gw, baru juga nyampe depan rumah ada sodara nya tiba-tiba ngatain gw ""ih kok jelek"" ""Kok potongan nya jelek"" ""Ini emang potong nya gini ya? """
67,2022-05-06 15:26:03+00:00,marzekaI,"Aron adek gue paling jelek, bawel, cengeng, galak, jamet, kadang baik. Si paling demen main plato / zpt. Demen susu coklat. https://t.co/SOXiDhqfQ3"
68,2022-05-06 15:26:00+00:00,FaizalJamalNA1,@CuanciMahar Btw muke loe jelek bingiits bong...
69,2022-05-06 15:25:58+00:00,gghyxx,sikilku emg jelek🙏
70,2022-05-06 15:25:54+00:00,baramgaebii,"ya kalo ga suka diem aja, gausah dihujat dijelek-jelekin. norak bgt. dunia ga butuh pendapat jelek lu ya anjir. emangnya tu kucing salah apa lu gituin. kucing juga punya perasaan!! minta maap gak lu ama kucing gw!! gausah sok iyeeeeee lu cuma manusia biasa. lucuan kucingnya"
71,2022-05-06 15:25:54+00:00,avakucingkepo,Udah dulu lah joinnya hari ini jujur kesel bgt sama signal yg gabisa diajak kerja sama alias jelek betul
72,2022-05-06 15:25:48+00:00,knightvoyer,@ucinkemesh jelek bgt pls
73,2022-05-06 15:25:46+00:00,sweetestsmiless,"Ya mungkin emang lu pantes dihina, dan semua yang disandingkan sama lu udah ketauan lu lebih jelek from the whole package. Jadi gada chance buat lu jelek jelekin org itu krn emg lu lebih jelek lol"
74,2022-05-06 15:25:45+00:00,diirumaah,@coccainnn @exozystem ANJING DN LO JELEK BAT TAIK
75,2022-05-06 15:25:39+00:00,thepengyou,@gaIdivemuse jelek kaya kelakuan kita
76,2022-05-06 15:25:37+00:00,yaelahwilliam,@urfavrainbows @Fhusains @Bola_Jakarta Kalo dedik emg jelek kocak
77,2022-05-06 15:25:33+00:00,taebint,"lu liat gue nangis jelek skrng 
https://t.co/y2TtUDSJEy"
78,2022-05-06 15:25:24+00:00,_milnyu,chanhee allahuakbar jelek bgt tiktok lu
79,2022-05-06 15:25:23+00:00,jaehyuksbt,@kaialovesmark jelek ada gorila
80,2022-05-06 15:25:14+00:00,issapr3ttygirl,JELEK BGT TOLONG
81,2022-05-06 15:25:14+00:00,watanabekyuu,"nyimak mereka marah marah aja dah, jelek banget among us di hp gw"
82,2022-05-06 15:25:10+00:00,hanjiahh,@kyiouka ini matiinnya gimana sih nge tweet sendiri masal jelek banget
83,2022-05-06 15:25:07+00:00,nenenganyu,"@November_4_6 tbh activision ama sony lumayan 50/50, banyak yg jelek ama banyak juga yg bagus mereka, kalo CDPR ama Bethesda paling ga cuma 1/2 yg jele lah"
84,2022-05-06 15:25:05+00:00,dndmrsy,@strawbkerry @jaehluvv kapan
85,2022-05-06 15:24:51+00:00,slowlydreamer,padahal ya karakter itu kalau mau kerasa real ya jangan sempurna. tapi hp/naruto kan agak plot-driven gitu ya jelas gitu ada villain dengan niat jelek beneran bukan slice-of-life coming-of-age series jadi eksekusinya jelas beda
86,2022-05-06 15:24:44+00:00,hvnsflwr,"kyk apayah, kayak derajat nya bawah bgt ituteh?? jelek bgt kalo misuh kalo pake itu"
87,2022-05-06 15:24:33+00:00,vyndagnir,@yunjinsonlygf KENAPA JELEK😭😭
88,2022-05-06 15:24:32+00:00,pperiwinkles,sambil anjir typo nya jelek bgt busettt
89,2022-05-06 15:24:23+00:00,sunwuphile,Tbz tiktok jelek era https://t.co/ugWSm6QJ9J
90,2022-05-06 15:24:20+00:00,mezntri,"@convomfs jelek jelek njir, ya tikus ya asu ya jancok ya lonte ya Tante, padahal gua anak baik baik😭"
91,2022-05-06 15:24:10+00:00,svastikarr,"Akting yang paling menonjol? Tentu saja aktingnya Yayu Unru. Ga ada filmnya beliau yang aktingnya jelek. Asli.

Plis, bikinin spin-off para bala tentara Salma Guest House ini dong! Capek ketawa. Hah. https://t.co/W9Ri7DigAB"
92,2022-05-06 15:23:55+00:00,ssyoungiee,"#joongdok one tweet au (lagi)
Lo gamonnya jelek banget hyuk https://t.co/7blE5570V6"
93,2022-05-06 15:23:53+00:00,upiIgoreng,@kpnakukaya @joyfulran @WEBCOMICFESS BUKAN ITU. trauma ngegambarnya. sampe males buka kanvas yang gambar itu soalnya jelek bgt
94,2022-05-06 15:23:42+00:00,mitsuyacrush,@sanogear Mau marahin si gemini juni sma kak asa udh bikin kak mika jdi jelek suka bikin salting 😡
95,2022-05-06 15:23:41+00:00,kimseonho_1986,Ges rencananya aku mau buat AU dalam rangka perayaan ultah seono  mesti AU nya jelek😔 ada yang mau di tag gak 😅👉👈
96,2022-05-06 15:23:38+00:00,zainxyz,@roshayang Maaf kak aku jelek🙏
97,2022-05-06 15:23:37+00:00,yeonjunbumbum,@Eternallyeonie jelek banget pisah2 gitu :” carat apa ga bingung ya nontonin svt diapit tubatu kaya gini 🥲
98,2022-05-06 15:23:29+00:00,yunkiace,nangis jelek mau yedam https://t.co/SVGAExAv5W
99,2022-05-06 15:23:27+00:00,rahasiabandar,"@_MenjadiKucing Kurir bagus tuh tergantung daerah gak si? Daerah rumah gw Jnt jelek sicepat bagus, tapi di kampung Jnt bagus sicepat jelek wkkwkw"
100,2022-05-06 15:23:23+00:00,trrafaIgar,"@PIRATEFESS Track recordnya luffy jelek nder, anaknya badung gitu mana mau diatur, marine juga ngeriset nder 😂 mana yang bisa nguntungin mana yang nggak"
101,2022-05-06 15:23:22+00:00,txtzamo,"@httpkayi omongin guenya yg bagus2 kek lu mah, yg jelek mulu"
102,2022-05-06 15:23:21+00:00,taejunified,GANTENG BANGET SUMPAH TAEHYUN INI GAK PERNAH JELEK ANJIR https://t.co/YRmRBOmiHu
103,2022-05-06 15:23:19+00:00,ptrahnim,"aku post semua gambar raya, biarpun jelek😂"
104,2022-05-06 15:23:18+00:00,Alulacressida,"@convomf Gua jelek, gua ga pantes bahagia,mentally ill"
105,2022-05-06 15:23:16+00:00,koncobapakalen,"di jelek""in nih ke orang"" karna selingkuh alesannya. haduh😋"
106,2022-05-06 15:23:12+00:00,isenggantinama,@AREAJULID Reminder kok sama opini jelek smh 🤷🏻‍♂️
107,2022-05-06 15:23:05+00:00,niellshelby,"@lilaccountz nangkep sih. cuman mindset lu jelek bgt seakan2 paylater, cc dll. cuma buat ngutang doang"
108,2022-05-06 15:22:59+00:00,zonayeon,"Biru, jelek https://t.co/81wEAmjcXc"
109,2022-05-06 15:22:57+00:00,czzayum,jaringan jelek bgt 🤬
110,2022-05-06 15:22:52+00:00,SiAndi_,"@Bemz_Q Yang jelas baik Puan dan Ganjar elektablitas sama2 ga menonjol kok, Ganjar bagus karena dibedakin doang kaya Kambing. 

Aslinya jelek, cuma karena dipoles kaya kambing sama lembaga Survey dan buzzeRp. Jadi keliatan bagus, keliatannya doang."
111,2022-05-06 15:22:49+00:00,macchliato,jelek banget kalo salting kejedot https://t.co/QOZVOgo1vF
112,2022-05-06 15:22:44+00:00,1goparfaitt,"@tanyakanrl gua jelek"" gini sering badmood, jadi gaboleh badmood lagi gitu dek??"
113,2022-05-06 15:22:42+00:00,silky_willy,"Tp ttp aja mereka selalu ada buat gue dan gk pernah tuh mereka ikut menjauh atau apa.Ya gue bingung bahkan disaat gue punya sifat jelek dan kekanakkan, mereka masih bisa mengerti dan gue salut utk itu.Artinya apa? Mereka mmg tmn, teman yg gak bakalan ninggalin lo seburuk appun lo"
114,2022-05-06 15:22:40+00:00,JacktBattousai,Kenapa? Gw kurang apa sih? Setia udah. Sayang juga sayang banget. Muka juga gak jelek jelek amat. Tapi kenapa lu kek gitu? Ahh makanya jomblo terus. https://t.co/GmEou7kX8j
115,2022-05-06 15:22:32+00:00,LuckyOxWin,ini akun jelek banget udh gaperna kena pick🫠
116,2022-05-06 15:22:27+00:00,doyoun6un,"Pengalaman kaka ku pake paylater, dan mau minjem pinjaman ke bank malah gk bisa karena nama baiknya udah jelek di bi checking. Gara2nya hpnya ilang jadi buat buka apk lupa pwnya dan dibiarin udah lewat 3bln lebih https://t.co/Q3fyRalNJU"
117,2022-05-06 15:22:06+00:00,HoonUniverse,@yameenoshu Ketikan lo makin kesini makin jelek😑😑😑😑😑😑😑😑
