,date,username,content
0,2022-05-06 15:46:18+00:00,FKAecha,kontol bnyk bgt spoiler dr strange di tl pepek puki cookies
1,2022-05-06 15:46:01+00:00,Zoni780620882,"@kintil_ingip Nanti klo ditemenin jgn byk kentut y bang, tapi banyakin keluar peju, kontol Abang kekny sedaap klo d sedoot"
2,2022-05-06 15:46:00+00:00,shxshooting,@hongevnchae Telat kontol
3,2022-05-06 15:45:32+00:00,Birahi50126042,Kontol nganggur mulu nih
4,2022-05-06 15:45:32+00:00,hochiecoochie,ciri² manusia kontol adlah yg ngajak follow²an di ig tpi nyuruh dm dlu biar bisa di fb
5,2022-05-06 15:45:15+00:00,itspuddu,"btw aku nungguin loh balesaj chat km dari jam set 3 sore ampe tengah malam gini, terus respon km cuma kek ""apa"" HAH ANJING MIKIR PAKE OTAK BUKAN KONTOL https://t.co/8d3dIJm6Oy"
6,2022-05-06 15:45:13+00:00,sambathariangue,"Si najis, si sumbringan, si kontol, pamer, perhitungan, goblok, pick me, ya Allah semua aja yg buruk buruk disatuin ke gue🖕🏿"
7,2022-05-06 15:44:39+00:00,kyuutyty,duahari berturut2 ketemu org kelakuannya kyk kontol semua sih heran
8,2022-05-06 15:44:38+00:00,cikaabc,HEH PALA KONTOL KAU KUBETOT SINI https://t.co/zQVduQhYil
9,2022-05-06 15:43:33+00:00,bakol_endok,Kontol
10,2022-05-06 15:43:24+00:00,NlRANKARI,@nirwikhara Kontol gue? Jelas.
11,2022-05-06 15:42:43+00:00,avadarq,@yeahhajg semesta semesta kontol
12,2022-05-06 15:42:40+00:00,bxrnhale,"@akaza48 @jellyeena @shallypristine @RodriChen Elah bilang aja kontol lo gak bisa ngaceng, pake segala nyalahin kaga berdarah. Otak lo noh pendarahan"
13,2022-05-06 15:42:35+00:00,kokelenberak,Kontol
14,2022-05-06 15:42:27+00:00,bokeperstante,Bokep indo terbaru baru pertama kali nyepong kontol: Janda tangerang sange horny masturbasi di rekam  join update tiap hari  https://t.co/xEaE6P11CD  /2020/06/bokep-indo-terbaru-baru-pertama-kali.html
15,2022-05-06 15:42:19+00:00,raffaellloo,@dilarchery bedanya apa sih kontol
16,2022-05-06 15:41:53+00:00,RP_FAMOUS_2014,"BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 2"
17,2022-05-06 15:41:24+00:00,HotRockstar_,@darksideofza @bintanqharley kontol🖕🏼
18,2022-05-06 15:41:24+00:00,rckyaghstyn,@coffebit Harusnya kontol nya di borgol aja ke batang mengkudu ya
19,2022-05-06 15:41:13+00:00,daytwoyou,kontol https://t.co/QH3yYB3tGq
20,2022-05-06 15:40:49+00:00,yourleoboy12,kaga butuh gw sama lu semua kontol
