,date,username,content
0,2022-05-06 15:29:07+00:00,platythi,GOBLOK AMAT :(((((( https://t.co/2U4Q17VOxb
1,2022-05-06 15:29:04+00:00,adityasaazhari,yang nyebut goblok tanda dia sendiri goblok https://t.co/upidqzm0aR
2,2022-05-06 15:29:00+00:00,forbiddendis,"@Askrlfess gak setuju. Orang dien tuh karena dia udh capek sama kesalahan yang sama berulang ulang, terus udh jelasin sampe nyawa tinggal di tenggorokan tapi lunya goblok ga sadar sadar"
3,2022-05-06 15:28:59+00:00,ryomenryuu,@pendragons00 @convomfs NGGAK GOBLOK
4,2022-05-06 15:28:57+00:00,seathernyous,"@tanyakanrl baper boleh, goblok jangan"
5,2022-05-06 15:28:48+00:00,ffffffeeeeee_,yg goblok itu kenyataan atau gua?
6,2022-05-06 15:28:29+00:00,ahdnlanky,@taerkcj goblok mau ngilang
7,2022-05-06 15:28:26+00:00,3ceraa,@convomf Yg ngomong gt goblok
8,2022-05-06 15:28:21+00:00,raewrnica,"@tanyakanrl Lawak lu nder ngapain jg masih lu ladenin, goblok"
9,2022-05-06 15:28:15+00:00,Achapupunggung,AH GOBLOK T-T https://t.co/Wuf2OpAihf
10,2022-05-06 15:28:06+00:00,hiesrarki,@boytabIo @Kafgka anjing kaya gapernah aja lu tott kita bertiga sama aja goblok
11,2022-05-06 15:27:46+00:00,vrunspop,@thvsmaid sama anjggg kapansih ditetapin goblok lama bgt
12,2022-05-06 15:27:43+00:00,UsGoblok,★zoey foxx
13,2022-05-06 15:27:16+00:00,kacangbakwan,"@Mujalba @AgusniSurahman @SelamatHeri @yudhas0502 @ChusnulCh__ yg goblok ya kita mata belok, mereka tau sebagian besar pejabat doyan duit, dll. mereka juga paham pejabat gak bisa langsung menyimpan uang jarahan, kalau di negaranya cina sana bagus, pejabat korupsi hukum mati, disini potong tahanan, keren kan ?"
14,2022-05-06 15:27:11+00:00,kreshnadeva,@Sobat_Anies Baru nyadar ya boss?? Goblok Berjamaah kelakuan elit dan simpatisan pendukung gubernur ayat dan mayat !!
15,2022-05-06 15:27:07+00:00,Achapupunggung,yang mulia hakim kejaksaan apa boleh saya pinjem palu sidang nya buat getok kepala si goblok?? https://t.co/PkX8OY870T
16,2022-05-06 15:27:02+00:00,n5prince,IDIOT GOBLOK https://t.co/6jD7KhVPC7
17,2022-05-06 15:26:50+00:00,jurumaido,@streets_engine @Sungjinese_ @baebaepiper sebelum ngilang bilang dulu ke keluarganya punya pacar? si paling goblok.
18,2022-05-06 15:26:50+00:00,Jems53864395,@teguhNurdin13 @detikcom Tapi kurang bijak juga ngatain orang lain goblok
19,2022-05-06 15:26:48+00:00,sutasona_,@missufe @JukeNFT Done https://t.co/2UyaW6ueac
20,2022-05-06 15:26:46+00:00,UsGoblok,★★https://t.co/WiaOcE3f2w
21,2022-05-06 15:26:34+00:00,nobwie,"Goblok, gw sakit ati hshshs"
22,2022-05-06 15:26:30+00:00,nkvghb,Goblok https://t.co/BTpIww3ozH
23,2022-05-06 15:26:09+00:00,Strawpuddding,"Pls gw goblok bgt, ngajak mutualan di anitwt tapi gtw singkatannya, bisa-bisanya org ngajak masih gw tanyain artinya hmu, yaallah.."
24,2022-05-06 15:25:57+00:00,sshuuut,"celana gua size xxs dipaksain pake sm si rachel yg size L ya melarr bangsatt, ketara bgt goblok nya"
25,2022-05-06 15:25:26+00:00,Dolan_Wae,"@winson_stu @RANGERmounts Ealah per, per, goblok kamu"
26,2022-05-06 15:24:48+00:00,hakimmushin,Apa bodoh roadblock kat sini.. goblok ka
27,2022-05-06 15:24:47+00:00,ptrsndii,"@avokadel Goblok cowonya, ganti aku aja sini"
28,2022-05-06 15:24:40+00:00,xolovelyody,@rzdwicy @fa1ryjmin @chartdata @BTS_twt Gak butuh kon goblok
